lag_count,sample_size,H,zeta,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,gaussian_hit_rate
3,100,0.3,2.0,0.05,0.7918105639674713,1.3856649373854695,114.06291960800993,580.6721618512512,0.822,0.8341507606386154
3,100,0.3,4.0,0.005,0.2558914659168278,1.0018426165091714,81.96032960322998,137.3395503093627,0.688,0.6835803890934029
3,100,0.3,4.0,0.01,0.3604668308553724,1.4112664199059037,73.82223547585522,153.15599934543,0.846,0.841833928005326
3,100,0.3,4.0,0.02,0.5068540061458144,1.9843879587227977,63.76935875249422,178.86956351415682,0.955,0.9527873926641255
3,100,0.3,4.0,0.05,0.7918105639674713,3.100023536707589,47.9575501058741,244.14256966917094,0.998,0.998064947348283
3,200,0.3,0.5,0.005,0.2558914659168278,0.13061527574717727,1102.7223577019038,1847.8133684432044,0.114,0.10392034204160194
3,200,0.3,0.5,0.01,0.3604668308553724,0.18399392234983228,993.229650842596,2060.6132931867573,0.157,0.14598177720943406
3,200,0.3,0.5,0.02,0.5068540061458144,0.2587146684986161,857.9748028480076,2406.5723961128174,0.216,0.2041445990237154
3,200,0.3,0.5,0.05,0.7918105639674713,0.4041657066662573,645.2373114940788,3284.7777863301776,0.326,0.31390913028083123
3,200,0.3,1.0,0.005,0.2558914659168278,0.2862852843101832,463.63763880582763,776.909818790891,0.242,0.22534037190975065
3,200,0.3,1.0,0.01,0.3604668308553724,0.4032817147147956,417.6016264586188,866.3811657324479,0.334,0.313259008200772
3,200,0.3,1.0,0.02,0.5068540061458144,0.56705620382187,360.7339680464511,1011.8390504699054,0.463,0.4293240030103209
3,200,0.3,1.0,0.05,0.7918105639674713,0.8858588214853278,271.28887111165767,1381.0789327150392,0.669,0.6243063918121559
3,200,0.3,2.0,0.005,0.2558914659168278,0.6332974455192018,194.93561422425847,326.6503407983366,0.472,0.4734605788666182
3,200,0.3,2.0,0.01,0.3604668308553724,0.8921076064697994,175.57985534658664,364.26840825387484,0.639,0.6276647417759891
3,200,0.3,2.0,0.02,0.5068540061458144,1.2543964535638283,151.66995029525432,425.4259151769328,0.797,0.7903020590460363
