scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,var_alpha_theory_scaled,var_alpha_empirical_scaled,var_alpha_empirical_scaled_se,var_H_theory_scaled,var_H_empirical_scaled,var_H_empirical_scaled_se,cov_theory_scaled,cov_empirical_scaled,cov_empirical_scaled_se
a4a2797b3c9d,default,12345,181017729776797,1000,20,500,0.3,1.0,1.0,0.5,100.0,1.0,0.22176438653664257,0.21723985075585742,0.009720122751238977,0.03614840357579909,0.03533802923901073,0.0015811554868728193,-0.08691762400204157,-0.0848814933327209,0.003648436828201629
e45e1e62ceec,default,12345,251092887850732,1000,20,500,0.3,2.0,1.0,0.5,100.0,1.0,0.05544109663416064,0.05647463076331499,0.0025268860268516714,0.009037100893949773,0.009106917868116026,0.0004074775381015243,-0.021729406000510394,-0.022048226669667607,0.0010336240015564042
957558c61fe4,default,12345,164331233091556,1000,20,1000,0.3,0.5,1.0,0.5,100.0,1.0,0.8870575461465703,0.9917625397776184,0.04437516226041255,0.14459361430319637,0.16237172081660797,0.0072651175747724984,-0.3476704960081663,-0.39069470780071147,0.0169100874253248
5eb4f7d9c815,default,12345,104131345369109,1000,20,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.22176438653664257,0.22818873280964108,0.010210016650453714,0.03614840357579909,0.037946640934743384,0.0016978745225590256,-0.08691762400204157,-0.09046024781631888,0.0039878458876878185
c1878991fd82,default,12345,212787872791938,1000,20,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.05544109663416064,0.055505824734035494,0.002483538024659752,0.009037100893949773,0.009037603582245547,0.0004043761579232037,-0.021729406000510394,-0.02175993898358674,0.00106269737618043
983dcba7d45d,default,12345,167391177200733,1000,20,5000,0.3,0.5,1.0,0.5,100.0,1.0,0.8870575461465703,0.8912612879085953,0.03987836067718024,0.14459361430319637,0.14141456046699846,0.00632741590352372,-0.3476704960081663,-0.34528192110247025,0.016165537490754753
ab8001a738dd,default,12345,188566271899869,1000,20,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.22176438653664257,0.21100840010411417,0.009441304362059985,0.03614840357579909,0.03430440571225325,0.0015349073076198223,-0.08691762400204157,-0.08236656414661873,0.003610742508654664
84aef1849c97,default,12345,145886911175831,1000,20,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.05544109663416064,0.0548130337831348,0.0024525399685467863,0.009037100893949773,0.008802112779120484,0.0003938394193588971,-0.021729406000510394,-0.021262102595203558,0.0009303690865177075
e7c8c4736c95,default,12345,254849475374229,1000,50,500,0.3,0.5,1.0,0.5,100.0,1.0,0.35971712525066485,0.375415688241197,0.016797500825694648,0.031932753274648375,0.0333398998810698,0.0014917517123606216,-0.10536519816975169,-0.10980800526612929,0.0045234426981768106
2b5d3a3beb03,default,12345,47679408958211,1000,50,500,0.3,1.0,1.0,0.5,100.0,1.0,0.08992928131266621,0.09026446197988015,0.004038769348562176,0.007983188318662094,0.007984183529484197,0.00035724220811689326,-0.026341299542437923,-0.026382307184019214,0.0011657868438517149
15fcb1bf14fd,default,12345,24175058031869,1000,50,500,0.3,2.0,1.0,0.5,100.0,1.0,0.022482320328166553,0.023234399273165215,0.0010395938507630107,0.0019957970796655234,0.002023395346565569,9.053426926262406e-05,-0.006585324885609481,-0.006750312415439309,0.0003075035667808478
13aa57f20955,default,12345,21622340847957,1000,50,1000,0.3,0.5,1.0,0.5,100.0,1.0,0.35971712525066485,0.35460093242139495,0.015866170865277217,0.031932753274648375,0.03143474117020839,0.0014065077920313964,-0.10536519816975169,-0.10386726069459987,0.004583538585541757
e2557e474ca3,default,12345,248856818699427,1000,50,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.08992928131266621,0.08813273799533076,0.00394338805121049,0.007983188318662094,0.007814858472697264,0.0003496659723060927,-0.026341299542437923,-0.02579667473867073,0.001165362543973938
d09e431ca87b,default,12345,229378149361787,1000,50,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.022482320328166553,0.024081831315194306,0.0010775111271890247,0.0019957970796655234,0.0021203759315898962,9.487354305444244e-05,-0.006585324885609481,-0.0070335134118901165,0.00032477824686340896
3879545ca676,default,12345,62093757556342,1000,50,5000,0.3,0.5,1.0,0.5,100.0,1.0,0.35971712525066485,0.37327038794865197,0.016701512073588384,0.031932753274648375,0.03242606095994819,0.0014508631440005536,-0.10536519816975169,-0.10811804544859356,0.0047315502588285655
cfd3e66f0576,default,12345,228509011084662,1000,50,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.08992928131266621,0.09136179014802281,0.0040878679115359,0.007983188318662094,0.008012338374076368,0.00035850196107900295,-0.026341299542437923,-0.026625935485335303,0.0012344814563221072
79b08eff3981,default,12345,133799220296065,1000,50,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.022482320328166553,0.021067727292077926,0.0009426488494450573,0.0019957970796655234,0.0018916090632178,8.463765845842363e-05,-0.006585324885609481,-0.006201382292429813,0.0002813900190897587
5ef92eb739d5,default,12345,104424323627477,1000,10,500,0.6,0.5,1.0,0.5,100.0,1.0,0.9712506374696135,0.9978748612660981,0.044648650365639746,0.2556455221073792,0.2620755723304987,0.011726240486219681,-0.48530874590206396,-0.4987490169178572,0.022195037034952757
