scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S
366e8dd2d662,transition,2026,59848453707362,1000,5,10,0.6,2.0,1.0,0.5,100.0,1.0
aabb18945cbd,transition,2026,187720547982525,1000,5,10,0.6,4.0,1.0,0.5,100.0,1.0
6a1143c08695,transition,2026,116622383679125,1000,5,20,0.6,0.5,1.0,0.5,100.0,1.0
0ba73bc606a9,transition,2026,12812890277545,1000,5,20,0.6,1.0,1.0,0.5,100.0,1.0
e8b5e6a0bd19,transition,2026,255867956018457,1000,5,20,0.6,2.0,1.0,0.5,100.0,1.0
901f2bcfad39,transition,2026,158463553416505,1000,5,20,0.6,4.0,1.0,0.5,100.0,1.0
995f2f621503,transition,2026,168634095899907,1000,5,50,0.6,0.5,1.0,0.5,100.0,1.0
8ab916d31eb0,transition,2026,152527556517552,1000,5,50,0.6,1.0,1.0,0.5,100.0,1.0
a976c1400896,transition,2026,186327513434262,1000,5,50,0.6,2.0,1.0,0.5,100.0,1.0
c41720e42753,transition,2026,215603615115091,1000,5,50,0.6,4.0,1.0,0.5,100.0,1.0
f4724940b9c3,transition,2026,268771692427715,1000,5,100,0.6,0.5,1.0,0.5,100.0,1.0
1b621dfe1abe,transition,2026,30108223937214,1000,5,100,0.6,1.0,1.0,0.5,100.0,1.0
82c1c315751d,transition,2026,143768713262365,1000,5,100,0.6,2.0,1.0,0.5,100.0,1.0
8dd6039e9240,transition,2026,155950323241536,1000,5,100,0.6,4.0,1.0,0.5,100.0,1.0
8b09040bf456,transition,2026,152870838858838,1000,5,200,0.6,0.5,1.0,0.5,100.0,1.0
216c00a21f95,transition,2026,36747750809493,1000,5,200,0.6,1.0,1.0,0.5,100.0,1.0
58ffaaf8ab75,transition,2026,97855108328309,1000,5,200,0.6,2.0,1.0,0.5,100.0,1.0
6d947bf8b082,transition,2026,120484502483074,1000,5,200,0.6,4.0,1.0,0.5,100.0,1.0
d6fb56ddc094,transition,2026,236374982508692,1000,8,10,0.6,0.5,1.0,0.5,100.0,1.0
0b49fb1c646f,transition,2026,12412373460079,1000,8,10,0.6,1.0,1.0,0.5,100.0,1.0
213c1ccf13fe,transition,2026,36542065087486,1000,8,10,0.6,2.0,1.0,0.5,100.0,1.0
f014475b6c2c,transition,2026,263969887185964,1000,8,10,0.6,4.0,1.0,0.5,100.0,1.0
ba7acf1f5cc2,transition,2026,205036623715522,1000,8,20,0.6,0.5,1.0,0.5,100.0,1.0
80543280ac07,transition,2026,141099112901639,1000,8,20,0.6,1.0,1.0,0.5,100.0,1.0
5fbc11f7f8a7,transition,2026,105261359954087,1000,8,20,0.6,2.0,1.0,0.5,100.0,1.0
304358e1b0bf,transition,2026,53065812127935,1000,8,20,0.6,4.0,1.0,0.5,100.0,1.0
b6d4a08e0e00,transition,2026,201024342986240,1000,8,50,0.6,0.5,1.0,0.5,100.0,1.0
1cda40aacaa2,transition,2026,31723713383074,1000,8,50,0.6,1.0,1.0,0.5,100.0,1.0
1ed121c138da,transition,2026,33883563309274,1000,8,50,0.6,2.0,1.0,0.5,100.0,1.0
a0a8adb0e6c5,transition,2026,176646329001669,1000,8,50,0.6,4.0,1.0,0.5,100.0,1.0
27981592c660,transition,2026,43534150452832,1000,8,100,0.6,0.5,1.0,0.5,100.0,1.0
95e75aa54494,transition,2026,164820890764436,1000,8,100,0.6,1.0,1.0,0.5,100.0,1.0
5d7bd2b3bb7f,transition,2026,102786397354879,1000,8,100,0.6,2.0,1.0,0.5,100.0,1.0
348ad0b58670,transition,2026,57770811688560,1000,8,100,0.6,4.0,1.0,0.5,100.0,1.0
53ac87f919c3,transition,2026,92000480729539,1000,8,200,0.6,0.5,1.0,0.5,100.0,1.0
6b6a40066362,transition,2026,118104084865890,1000,8,200,0.6,1.0,1.0,0.5,100.0,1.0
7ca56b0fcb06,transition,2026,137049907645190,1000,8,200,0.6,2.0,1.0,0.5,100.0,1.0
10f162925071,transition,2026,18628926918769,1000,8,200,0.6,4.0,1.0,0.5,100.0,1.0
d717ae8e7882,transition,2026,236496712792194,1000,10,10,0.6,0.5,1.0,0.5,100.0,1.0
9bc6768279c7,transition,2026,171276694092231,1000,10,10,0.6,1.0,1.0,0.5,100.0,1.0
d731a56ef7a0,transition,2026,236608228882336,1000,10,10,0.6,2.0,1.0,0.5,100.0,1.0
01db206a77a3,transition,2026,2040653313955,1000,10,10,0.6,4.0,1.0,0.5,100.0,1.0
6d6a81fb687e,transition,2026,120304214698110,1000,10,20,0.6,0.5,1.0,0.5,100.0,1.0
8fab33f1554e,transition,2026,157965473633614,1000,10,20,0.6,1.0,1.0,0.5,100.0,1.0
edc0bd38d39a,transition,2026,261412064121754,1000,10,20,0.6,2.0,1.0,0.5,100.0,1.0
db543c96202c,transition,2026,241154840207404,1000,10,20,0.6,4.0,1.0,0.5,100.0,1.0
26f9dcbe25b2,transition,2026,42854592161202,1000,10,50,0.6,0.5,1.0,0.5,100.0,1.0
a5788fea1ea6,transition,2026,181937229143718,1000,10,50,0.6,1.0,1.0,0.5,100.0,1.0
00b00ff23625,transition,2026,756181775909,1000,10,50,0.6,2.0,1.0,0.5,100.0,1.0
dbc43f2862af,transition,2026,241635919684271,1000,10,50,0.6,4.0,1.0,0.5,100.0,1.0
2bf6040a608a,transition,2026,48335629738122,1000,10,100,0.6,0.5,1.0,0.5,100.0,1.0
bc02077ba77d,transition,2026,206716901500797,1000,10,100,0.6,1.0,1.0,0.5,100.0,1.0
4d920540feb2,transition,2026,85289548709554,1000,10,100,0.6,2.0,1.0,0.5,100.0,1.0
4e2dba47a9de,transition,2026,85958305753566,1000,10,100,0.6,4.0,1.0,0.5,100.0,1.0
36a6fea8a5ad,transition,2026,60090864936365,1000,10,200,0.6,0.5,1.0,0.5,100.0,1.0
4b9c4ed30759,transition,2026,83134709434201,1000,10,200,0.6,1.0,1.0,0.5,100.0,1.0
3d45a69e6a2d,transition,2026,67369357437485,1000,10,200,0.6,2.0,1.0,0.5,100.0,1.0
8a476d93a304,transition,2026,152039385703172,1000,10,200,0.6,4.0,1.0,0.5,100.0,1.0
f62eae1f96db,transition,2026,270680350234331,1000,3,10,0.9,0.5,1.0,0.5,100.0,1.0
b528a9eef733,transition,2026,199186254329651,1000,3,10,0.9,1.0,1.0,0.5,100.0,1.0
b2ed0ec89e28,transition,2026,196731225021992,1000,3,10,0.9,2.0,1.0,0.5,100.0,1.0
c13276fbcff4,transition,2026,212422488739828,1000,3,10,0.9,4.0,1.0,0.5,100.0,1.0
53cb14e2892f,transition,2026,92131693857071,1000,3,20,0.9,0.5,1.0,0.5,100.0,1.0
73ed0c3bf78b,transition,2026,127461949699979,1000,3,20,0.9,1.0,1.0,0.5,100.0,1.0
fb130d0dc8fd,transition,2026,276059241957629,1000,3,20,0.9,2.0,1.0,0.5,100.0,1.0
0f3636c9598c,transition,2026,16725521815948,1000,3,20,0.9,4.0,1.0,0.5,100.0,1.0
a6ddbb326e8b,transition,2026,183471258627723,1000,3,50,0.9,0.5,1.0,0.5,100.0,1.0
795632d9c0ca,transition,2026,133411127279818,1000,3,50,0.9,1.0,1.0,0.5,100.0,1.0
deea78390970,transition,2026,245098620717424,1000,3,50,0.9,2.0,1.0,0.5,100.0,1.0
c4c593c18f3a,transition,2026,216352866537274,1000,3,50,0.9,4.0,1.0,0.5,100.0,1.0
12a9ee073893,transition,2026,20521052223635,1000,3,100,0.9,0.5,1.0,0.5,100.0,1.0
1400748b6e41,transition,2026,21992187850305,1000,3,100,0.9,1.0,1.0,0.5,100.0,1.0
d6e3761ca07e,transition,2026,236272427507838,1000,3,100,0.9,2.0,1.0,0.5,100.0,1.0
d4ad8991a72b,transition,2026,233841802454827,1000,3,100,0.9,4.0,1.0,0.5,100.0,1.0
eb4ea9f7ef86,transition,2026,258723091574662,1000,3,200,0.9,0.5,1.0,0.5,100.0,1.0
4edc1ccc1a8d,transition,2026,86707282909837,1000,3,200,0.9,1.0,1.0,0.5,100.0,1.0
