scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,empirical_hit_rate_se,gaussian_hit_rate
c1878991fd82,default,12345,212787872791938,1000,20,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,32.494114124270666,114.06291960800993,580.6721618512512,1.0,0.0,1.0
c1878991fd82,default,12345,212787872791938,1000,20,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,45.292857540393676,83.5021858855299,827.7091251135367,1.0,0.0,1.0
c1878991fd82,default,12345,212787872791938,1000,20,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,62.6693070622941,54.677194405045974,1371.78567800663,1.0,0.0,1.0
983dcba7d45d,default,12345,167391177200733,1000,20,5000,0.3,0.5,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,14.344362364961436,645.2373114940788,3284.7777863301776,1.0,0.0,1.0
983dcba7d45d,default,12345,167391177200733,1000,20,5000,0.3,0.5,1.0,0.5,100.0,1.0,0.1,1.103687976708687,19.99430292573226,472.3596950684625,4682.229881742131,1.0,0.0,1.0
983dcba7d45d,default,12345,167391177200733,1000,20,5000,0.3,0.5,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,27.66504869850058,309.3009195205053,7759.99164202459,1.0,0.0,1.0
ab8001a738dd,default,12345,188566271899869,1000,20,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,32.061638678353006,271.28887111165767,1381.0789327150392,1.0,0.0,1.0
ab8001a738dd,default,12345,188566271899869,1000,20,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,44.69003917498898,198.60278714670392,1968.635161475391,1.0,0.0,1.0
ab8001a738dd,default,12345,188566271899869,1000,20,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,61.83521949759043,130.04501722973532,3262.6745770886323,1.0,0.0,1.0
84aef1849c97,default,12345,145886911175831,1000,20,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,72.65904805050526,114.06291960800993,580.6721618512512,1.0,0.0,1.0
84aef1849c97,default,12345,145886911175831,1000,20,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,101.2779083555342,83.5021858855299,827.7091251135367,1.0,0.0,1.0
84aef1849c97,default,12345,145886911175831,1000,20,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,140.13283069409727,54.677194405045974,1371.78567800663,1.0,0.0,1.0
e7c8c4736c95,default,12345,254849475374229,1000,50,500,0.3,0.5,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,10.826999269488464,645.2373114940788,3284.7777863301776,1.0,0.0,1.0
e7c8c4736c95,default,12345,254849475374229,1000,50,500,0.3,0.5,1.0,0.5,100.0,1.0,0.1,1.103687976708687,15.091524995186933,472.3596950684625,4682.229881742131,1.0,0.0,1.0
e7c8c4736c95,default,12345,254849475374229,1000,50,500,0.3,0.5,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,20.88133682265868,309.3009195205053,7759.99164202459,1.0,0.0,1.0
2b5d3a3beb03,default,12345,47679408958211,1000,50,500,0.3,1.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,24.54756222831348,271.28887111165767,1381.0789327150392,1.0,0.0,1.0
2b5d3a3beb03,default,12345,47679408958211,1000,50,500,0.3,1.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,34.21632713908943,198.60278714670392,1968.635161475391,1.0,0.0,1.0
2b5d3a3beb03,default,12345,47679408958211,1000,50,500,0.3,1.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,47.34330374521264,130.04501722973532,3262.6745770886323,1.0,0.0,1.0
15fcb1bf14fd,default,12345,24175058031869,1000,50,500,0.3,2.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,56.656589198488206,114.06291960800993,580.6721618512512,1.0,0.0,1.0
15fcb1bf14fd,default,12345,24175058031869,1000,50,500,0.3,2.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,78.97241985049288,83.5021858855299,827.7091251135367,1.0,0.0,1.0
15fcb1bf14fd,default,12345,24175058031869,1000,50,500,0.3,2.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,109.2699179920175,54.677194405045974,1371.78567800663,1.0,0.0,1.0
13aa57f20955,default,12345,21622340847957,1000,50,1000,0.3,0.5,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,15.311689206714178,645.2373114940788,3284.7777863301776,1.0,0.0,1.0
13aa57f20955,default,12345,21622340847957,1000,50,1000,0.3,0.5,1.0,0.5,100.0,1.0,0.1,1.103687976708687,21.342639325085916,472.3596950684625,4682.229881742131,1.0,0.0,1.0
