scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,tau2,std_log_horizon_theory,std_log_horizon_empirical,std_log_horizon_empirical_se,ks_pvalue,ci95_coverage,ci95_coverage_se
86fcd97247eb,default,12345,148420538025963,1000,10,500,0.6,1.0,1.0,0.5,100.0,1.0,0.7686523337439716,0.03920847698505953,0.039799966140216185,0.0008903996090773077,0.8151992857357813,0.947,0.007084560677981384
4bb25833dd0d,default,12345,83229356055821,1000,10,500,0.6,2.0,1.0,0.5,100.0,1.0,0.13435000582619272,0.016392071609542994,0.016524086211899658,0.0003696746839331675,0.06826689333875591,0.944,0.007270763371201131
3653b018575e,default,12345,59733064570718,1000,10,1000,0.6,0.5,1.0,0.5,100.0,1.0,4.167401735794478,0.06455541600667196,0.06433642122107626,0.0014393259557775129,0.6699206400752611,0.949,0.006956938982052382
40d13fa46864,default,12345,71267460081764,1000,10,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.7686523337439716,0.027724579956132277,0.027349573872842547,0.000611861070409385,0.7552172649857027,0.966,0.005730968504537434
b31370818e1a,default,12345,196896073289242,1000,10,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.13435000582619272,0.011590944992803337,0.011675323434350866,0.0002611988006515594,0.09301104539607985,0.95,0.006892024376045114
cb6195b23ae7,default,12345,223619983751911,1000,10,5000,0.6,0.5,1.0,0.5,100.0,1.0,4.167401735794478,0.028870059701339303,0.029054795090107065,0.000650010055257602,0.33369300911515043,0.949,0.006956938982052382
ce24c7efb42c,default,12345,226657368519724,1000,10,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.7686523337439716,0.012398809085907982,0.012551532707278018,0.00028080123929021726,0.7665524248675525,0.948,0.007021111023192843
7af5a3cee504,default,12345,135195433821444,1000,10,5000,0.6,2.0,1.0,0.5,100.0,1.0,0.13435000582619272,0.005183628185473814,0.005043065118075569,0.00011282278969450155,0.13674417153601492,0.954,0.006624499981130654
a82896f736c3,default,12345,184892284942019,1000,20,500,0.6,0.5,1.0,0.5,100.0,1.0,0.6651574001957714,0.036473480782502,0.035311149492757495,0.0007899763932877272,0.6254064016118565,0.966,0.005730968504537434
5a428aa3318e,default,12345,99241840292238,1000,20,500,0.6,1.0,1.0,0.5,100.0,1.0,0.11584346573858255,0.015221265764619088,0.015146915444150122,0.0003388648006052059,0.5687462830061689,0.959,0.006270486424512857
5d6b45fb79f5,default,12345,102715316992501,1000,20,500,0.6,2.0,1.0,0.5,100.0,1.0,0.01866209228405896,0.006109352221644936,0.005993907118434681,0.00013409490189759602,0.13121110098012623,0.955,0.00655553201502365
5c7596c63684,default,12345,101660110501508,1000,20,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.6651574001957714,0.02579064559478439,0.025170517368171896,0.0005631115048172779,0.714663486231738,0.96,0.00619677335393187
b00222c2bd69,default,12345,193523219610985,1000,20,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.11584346573858255,0.010763060240404796,0.01082026931499245,0.00024206964232678952,0.4814373430927078,0.949,0.006956938982052382
199ff205a832,default,12345,28174750951474,1000,20,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.01866209228405896,0.004319964384582234,0.0042853170222017095,9.58705489320803e-05,0.855097102987228,0.957,0.006414904519944161
c2b22e9d692b,default,12345,214070542035243,1000,20,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.6651574001957714,0.011533927346708679,0.011962818238635861,0.00026763059660950755,0.13786358066621152,0.942,0.007391616873188169
ceb60e54989c,default,12345,227281319794844,1000,20,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.11584346573858255,0.004813386868694071,0.0047372247535533325,0.00010598056927523611,0.8095955114424611,0.953,0.00669260786241059
686da19fbe4e,default,12345,114820072324686,1000,20,5000,0.6,2.0,1.0,0.5,100.0,1.0,0.01866209228405896,0.0019319468048607838,0.0019731628190796198,4.414333913161537e-05,0.9556775518837697,0.947,0.007084560677981384
57efecf1ca33,default,12345,96687984069171,1000,50,500,0.6,0.5,1.0,0.5,100.0,1.0,0.05264745377701871,0.010261330691193877,0.010318713508665044,0.00023084890177864318,0.10980399857504675,0.949,0.006956938982052382
d8abcb6cfc92,default,12345,238232363924626,1000,50,500,0.6,1.0,1.0,0.5,100.0,1.0,0.008113221973414093,0.004028206045726582,0.004022006030563648,8.997979005067047e-05,0.4125400481427305,0.953,0.00669260786241059
85c747ee74a4,default,12345,147090951795876,1000,50,500,0.6,2.0,1.0,0.5,100.0,1.0,0.0010798835187764626,0.0014696145880988406,0.001494545052640149,3.343576539565329e-05,0.6939006468756789,0.947,0.007084560677981384
2efc60dabe66,default,12345,51661491584614,1000,50,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.05264745377701871,0.0072558565157408335,0.0072765407146482336,0.0001627898120549182,0.8304211039542224,0.946,0.0071473071852271785
694f247881c2,default,12345,115788635210178,1000,50,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.008113221973414093,0.002848371810949914,0.002802709660937486,6.270185199816796e-05,0.14254478143246208,0.954,0.006624499981130654
