scenario_id,detector,detector_input,holder_exponent,false_alarm_target,selected_delta,selected_threshold,selected_null_alarm_rate,target_met,operating_window,high_drift,mean_t_valid,mean_t_detect,mean_gap,median_gap,positive_gap_rate,detection_rate,undetected_invalid_rate,mean_pre_detection_excess_area
cusum-observation-H0.50-alpha0.100-w160-z0.0240,cusum,observation,0.5,0.1,0.02,40.0,0.875,0,160,0.024,1013.0,1174.5,161.5,76.5,0.667,1.0,0.0,3.465
cusum-observation-H0.50-alpha0.100-w240-z0.0100,cusum,observation,0.5,0.1,0.02,40.0,0.875,0,240,0.01,1201.0,1388.3,187.3,183.0,0.667,1.0,0.0,3.088
cusum-observation-H0.50-alpha0.100-w240-z0.0240,cusum,observation,0.5,0.1,0.02,40.0,0.875,0,240,0.024,907.0,1139.2,232.2,182.5,0.667,1.0,0.0,4.477
cusum-observation-H0.75-alpha0.100-w160-z0.0100,cusum,observation,0.75,0.1,0.02,40.0,0.875,0,160,0.01,831.0,949.3,118.3,70.5,0.833,1.0,0.0,1.522
cusum-observation-H0.75-alpha0.100-w160-z0.0240,cusum,observation,0.75,0.1,0.02,40.0,0.875,0,160,0.024,754.0,916.7,162.7,175.0,1.0,1.0,0.0,4.658
cusum-observation-H0.75-alpha0.100-w240-z0.0100,cusum,observation,0.75,0.1,0.02,40.0,0.875,0,240,0.01,773.0,934.2,161.2,128.5,1.0,1.0,0.0,2.581
cusum-observation-H0.75-alpha0.100-w240-z0.0240,cusum,observation,0.75,0.1,0.02,40.0,0.875,0,240,0.024,731.0,916.7,185.7,198.0,1.0,1.0,0.0,6.863
cusum-observation-H1.00-alpha0.100-w160-z0.0100,cusum,observation,1.0,0.1,0.02,40.0,0.875,0,160,0.01,717.0,819.3,102.3,119.0,0.833,1.0,0.0,3.063
cusum-observation-H1.00-alpha0.100-w160-z0.0240,cusum,observation,1.0,0.1,0.02,40.0,0.875,0,160,0.024,707.0,785.2,78.2,80.5,0.833,1.0,0.0,2.842
cusum-observation-H1.00-alpha0.100-w240-z0.0100,cusum,observation,1.0,0.1,0.02,40.0,0.875,0,240,0.01,703.0,813.5,110.5,133.0,0.667,1.0,0.0,3.395
cusum-observation-H1.00-alpha0.100-w240-z0.0240,cusum,observation,1.0,0.1,0.02,40.0,0.875,0,240,0.024,701.0,780.3,79.3,86.5,0.667,1.0,0.0,2.882
cusum-absolute_residual-H0.50-alpha0.100-w160-z0.0100,cusum,absolute_residual,0.5,0.1,0.02,40.0,0.0,1,160,0.01,nan,nan,nan,nan,0.0,0.0,0.0,0.0
cusum-absolute_residual-H0.50-alpha0.100-w160-z0.0240,cusum,absolute_residual,0.5,0.1,0.02,40.0,0.0,1,160,0.024,1013.0,nan,nan,nan,0.0,0.0,1.0,0.0
cusum-absolute_residual-H0.50-alpha0.100-w240-z0.0100,cusum,absolute_residual,0.5,0.1,0.02,40.0,0.0,1,240,0.01,1201.0,nan,nan,nan,0.0,0.0,1.0,0.0
cusum-absolute_residual-H0.50-alpha0.100-w240-z0.0240,cusum,absolute_residual,0.5,0.1,0.02,40.0,0.0,1,240,0.024,907.0,nan,nan,nan,0.0,0.0,1.0,0.0
cusum-absolute_residual-H0.75-alpha0.100-w160-z0.0100,cusum,absolute_residual,0.75,0.1,0.02,40.0,0.0,1,160,0.01,831.0,nan,nan,nan,0.0,0.0,1.0,0.0
cusum-absolute_residual-H0.75-alpha0.100-w160-z0.0240,cusum,absolute_residual,0.75,0.1,0.02,40.0,0.0,1,160,0.024,754.0,1632.0,878.0,878.0,1.0,0.167,0.833,20.278
cusum-absolute_residual-H0.75-alpha0.100-w240-z0.0100,cusum,absolute_residual,0.75,0.1,0.02,40.0,0.0,1,240,0.01,773.0,nan,nan,nan,0.0,0.0,1.0,0.0
cusum-absolute_residual-H0.75-alpha0.100-w240-z0.0240,cusum,absolute_residual,0.75,0.1,0.02,40.0,0.0,1,240,0.024,731.0,1651.3,920.3,872.0,1.0,1.0,0.0,172.901
cusum-absolute_residual-H1.00-alpha0.100-w160-z0.0100,cusum,absolute_residual,1.0,0.1,0.02,40.0,0.0,1,160,0.01,717.0,1409.5,692.5,695.0,1.0,1.0,0.0,159.467
cusum-absolute_residual-H1.00-alpha0.100-w160-z0.0240,cusum,absolute_residual,1.0,0.1,0.02,40.0,0.0,1,160,0.024,707.0,1062.5,355.5,352.5,1.0,1.0,0.0,86.75
cusum-absolute_residual-H1.00-alpha0.100-w240-z0.0100,cusum,absolute_residual,1.0,0.1,0.02,40.0,0.0,1,240,0.01,703.0,1232.5,529.5,539.5,1.0,1.0,0.0,119.368
cusum-absolute_residual-H1.00-alpha0.100-w240-z0.0240,cusum,absolute_residual,1.0,0.1,0.02,40.0,0.0,1,240,0.024,701.0,1023.7,322.7,321.0,1.0,1.0,0.0,89.834
