truth_h,lambda_0,lambda_1,policy,mean_cumulative_validity_loss,mean_cumulative_update_cost,mean_total_cost,mean_regret,mean_lead_time,mean_log_memory_std,mean_tau_valid,mean_tau_detect,mean_delay_gap,mean_masking_index,schedule_mode
0.5,0.0,4.0,fixed_policy,348.83293897288326,0.0,348.83293897288326,25.372127886458486,-37.0,8.881784197001252e-16,33.0,70.0,37.0,0.025853080895537686,default
0.5,0.0,4.0,deploy_only,297.169152490566,14.698091830079742,311.86724432064574,-26.29165859585881,0.0,0.4263173703681857,70.0,70.0,0.0,0.01697130253140383,default
0.5,0.0,4.0,detector_only,312.0107597368502,12.180745340997893,324.1915050778481,-11.450051349574531,54.666666666666664,0.8500553403329314,70.0,15.333333333333334,-54.666666666666664,0.09841108997698916,default
0.5,2.0,0.0,oracle,305.9992107570552,38.0,343.9992107570552,0.0,50.0,0.6672727096787078,70.0,20.0,-50.0,0.0,default
0.5,2.0,0.0,controller,336.6224846850724,54.666666666666664,391.28915135173906,30.62327392801721,54.666666666666664,0.45510664803424056,70.0,15.333333333333334,-54.666666666666664,0.04438646736507192,default
0.5,2.0,0.0,fixed_policy,348.83293897288326,0.0,348.83293897288326,42.833728215828046,-37.0,8.881784197001252e-16,33.0,70.0,37.0,0.025853080895537686,default
0.5,2.0,0.0,deploy_only,355.80439399381953,73.33333333333333,429.13772732715285,49.80518323676434,0.0,0.4263173703681857,70.0,70.0,0.0,0.01697130253140383,default
0.5,2.0,0.0,detector_only,329.83001439585234,30.0,359.83001439585234,23.830803638797136,54.666666666666664,0.8500553403329314,70.0,15.333333333333334,-54.666666666666664,0.09841108997698916,default
0.5,2.0,2.0,oracle,333.73001092174,65.7308001646848,399.4608110864248,0.0,50.0,0.6672727096787078,70.0,20.0,-50.0,0.0,default
0.5,2.0,2.0,controller,344.3480109065202,62.39219288811444,406.7402037946346,10.61799998478017,54.666666666666664,0.45510664803424056,70.0,15.333333333333334,-54.666666666666664,0.04438646736507192,default
