ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_inverse_norm,max_inverse_norm,min_spectral_gap
12,2,32,0.4,yy,0.70592665,0.80759952,3.52956474,5.19749235,0.19240048
12,2,32,0.5,xy,0.5543198,0.6313093,2.2609724,2.71230055,0.3686907
12,2,32,0.5,xx,0.63621426,0.80586396,2.91182503,5.15102712,0.19413604
12,2,32,0.5,yy,0.62964119,0.73957771,2.78040676,3.83991715,0.26042229
12,2,32,0.65,xy,0.45872686,0.5376811,1.85797613,2.16300912,0.4623189
12,2,32,0.65,xx,0.53560385,0.7271716,2.24058992,3.66530754,0.2728284
12,2,32,0.65,yy,0.52898954,0.6582632,2.16987961,2.92622863,0.3417368
12,2,32,0.8,xy,0.38001382,0.45549726,1.61963042,1.83653805,0.54450274
12,2,32,0.8,xx,0.45010209,0.64973389,1.86992311,2.85497216,0.35026611
12,2,32,0.8,yy,0.44456796,0.58322251,1.83020789,2.39936184,0.41677749
12,2,64,0.2,xy,0.79311862,0.82241017,4.87754173,5.63095312,0.17758983
12,2,64,0.2,xx,0.82929546,0.8708773,5.98275241,7.74457166,0.1291227
12,2,64,0.2,yy,0.83496672,0.89371039,6.24184624,9.40825716,0.10628961
12,2,64,0.3,xy,0.70093389,0.74151767,3.36758414,3.86873633,0.25848233
12,2,64,0.3,xx,0.73532599,0.80006453,3.83796939,5.00161378,0.19993547
12,2,64,0.3,yy,0.7446045,0.82851124,4.00802941,5.8312861,0.17148876
12,2,64,0.4,xy,0.61686143,0.66818408,2.62451369,3.01371913,0.33181592
12,2,64,0.4,xx,0.64888081,0.73155337,2.88328139,3.72513528,0.26844663
12,2,64,0.4,yy,0.66178386,0.76033433,3.01140032,4.17247904,0.23966567
12,2,64,0.5,xy,0.541418,0.60064338,2.19025779,2.50402763,0.39935662
12,2,64,0.5,xx,0.57125797,0.66448046,2.3548334,2.98045233,0.33551954
12,2,64,0.5,yy,0.58675896,0.69206024,2.4550693,3.24738842,0.30793976
12,2,64,0.65,xy,0.44460587,0.51040013,1.80630672,2.04248419,0.48959987
12,2,64,0.65,xx,0.47121671,0.56915732,1.90355289,2.32103284,0.43084268
12,2,64,0.65,yy,0.48904989,0.59521079,1.97719397,2.47042161,0.40478921
12,2,64,0.8,xy,0.36609601,0.43333253,1.58125903,1.76470338,0.56666747
12,2,64,0.8,xx,0.3894985,0.48398874,1.64538423,1.9379422,0.51601126
12,2,64,0.8,yy,0.40821151,0.50908204,1.70217631,2.03700025,0.49091796
12,2,128,0.2,xy,0.79495401,0.81906821,4.90245066,5.52694457,0.18093179
12,2,128,0.2,xx,0.81294638,0.85854723,5.42054326,7.06949742,0.14145277
12,2,128,0.2,yy,0.81841858,0.86301766,5.57103205,7.30021094,0.13698234
12,2,128,0.3,xy,0.70470993,0.73566147,3.40214589,3.78302776,0.26433853
12,2,128,0.3,xx,0.72259836,0.78236679,3.6436901,4.59488706,0.21763321
12,2,128,0.3,yy,0.72995759,0.78954434,3.73816282,4.75159481,0.21045566
