a,H,V
0.354749,0.25838,1.975346
0.358939,0.25838,1.973523
0.363128,0.25838,1.971661
0.367318,0.25838,1.969763
0.371508,0.25838,1.967829
0.375698,0.25838,1.965863
0.379888,0.25838,1.963867
0.384078,0.25838,1.961841
0.388268,0.25838,1.959788
0.392458,0.25838,1.957709
0.396648,0.25838,1.955605
0.400838,0.25838,1.953479
0.405028,0.25838,1.951332
0.409218,0.25838,1.949164
0.413408,0.25838,1.946978
0.417598,0.25838,1.944774
0.421788,0.25838,1.942554
0.425978,0.25838,1.940319
0.430168,0.25838,1.93807
0.434358,0.25838,1.935808
0.438547,0.25838,1.933533
0.442737,0.25838,1.931248
0.446927,0.25838,1.928953
0.451117,0.25838,1.926648
0.455307,0.25838,1.924335
0.459497,0.25838,1.922014
0.463687,0.25838,1.919686
0.467877,0.25838,1.917352
0.472067,0.25838,1.915013
0.476257,0.25838,1.912669
0.480447,0.25838,1.91032
0.484637,0.25838,1.907969
0.488827,0.25838,1.905614
0.493017,0.25838,1.903257
0.497207,0.25838,1.900898
0.501397,0.25838,1.898538
0.505587,0.25838,1.896177
0.509777,0.25838,1.893816
0.513966,0.25838,1.891455
0.518156,0.25838,1.889095
0.522346,0.25838,1.886735
0.526536,0.25838,1.884377
0.530726,0.25838,1.882021
0.534916,0.25838,1.879667
0.539106,0.25838,1.877315
0.543296,0.25838,1.874966
0.547486,0.25838,1.872621
0.551676,0.25838,1.870278
0.555866,0.25838,1.86794
0.560056,0.25838,1.865605
0.564246,0.25838,1.863275
0.568436,0.25838,1.860949
0.572626,0.25838,1.858627
0.576816,0.25838,1.856311
0.581006,0.25838,1.854
0.585196,0.25838,1.851694
0.589385,0.25838,1.849394
0.593575,0.25838,1.8471
0.597765,0.25838,1.844811
0.601955,0.25838,1.842529
0.606145,0.25838,1.840253
0.610335,0.25838,1.837983
0.614525,0.25838,1.83572
0.618715,0.25838,1.833464
0.622905,0.25838,1.831214
0.627095,0.25838,1.828972
0.631285,0.25838,1.826736
0.635475,0.25838,1.824508
0.639665,0.25838,1.822286
0.643855,0.25838,1.820073
0.648045,0.25838,1.817866
0.652235,0.25838,1.815667
0.656425,0.25838,1.813476
0.660615,0.25838,1.811293
0.664804,0.25838,1.809117
0.668994,0.25838,1.806949
0.673184,0.25838,1.804789
0.677374,0.25838,1.802637
0.681564,0.25838,1.800493
0.685754,0.25838,1.798357
0.689944,0.25838,1.79623
0.694134,0.25838,1.79411
0.698324,0.25838,1.791998
0.702514,0.25838,1.789895
0.706704,0.25838,1.7878
0.710894,0.25838,1.785713
0.715084,0.25838,1.783635
0.719274,0.25838,1.781565
0.723464,0.25838,1.779503
0.727654,0.25838,1.77745
0.731844,0.25838,1.775405
0.736034,0.25838,1.773368
0.740223,0.25838,1.77134
0.744413,0.25838,1.76932
0.748603,0.25838,1.767309
0.752793,0.25838,1.765306
0.756983,0.25838,1.763311
0.761173,0.25838,1.761325
0.765363,0.25838,1.759347
0.769553,0.25838,1.757378
0.773743,0.25838,1.755417
0.777933,0.25838,1.753465
0.782123,0.25838,1.751521
0.786313,0.25838,1.749585
0.790503,0.25838,1.747658
0.794693,0.25838,1.745739
0.798883,0.25838,1.743828
0.803073,0.25838,1.741926
0.807263,0.25838,1.740032
0.811453,0.25838,1.738146
0.815642,0.25838,1.736269
0.819832,0.25838,1.7344
0.824022,0.25838,1.732539
0.828212,0.25838,1.730687
0.832402,0.25838,1.728842
0.836592,0.25838,1.727006
0.840782,0.25838,1.725178
0.844972,0.25838,1.723358
0.849162,0.25838,1.721546
0.853352,0.25838,1.719742
0.857542,0.25838,1.717947
0.861732,0.25838,1.716159
0.865922,0.25838,1.714379
0.870112,0.25838,1.712608
0.874302,0.25838,1.710844
0.878492,0.25838,1.709088
0.882682,0.25838,1.70734
0.886872,0.25838,1.7056
0.891061,0.25838,1.703868
0.895251,0.25838,1.702143
0.899441,0.25838,1.700426
0.903631,0.25838,1.698717
0.907821,0.25838,1.697016
0.912011,0.25838,1.695322
0.916201,0.25838,1.693636
0.920391,0.25838,1.691958
0.924581,0.25838,1.690287
0.928771,0.25838,1.688624
0.932961,0.25838,1.686968
0.937151,0.25838,1.685319
0.941341,0.25838,1.683678
0.945531,0.25838,1.682045
0.949721,0.25838,1.680419
0.953911,0.25838,1.6788
0.958101,0.25838,1.677188
0.962291,0.25838,1.675584
0.96648,0.25838,1.673986
0.97067,0.25838,1.672397
0.97486,0.25838,1.670814
0.97905,0.25838,1.669238
0.98324,0.25838,1.667669
0.98743,0.25838,1.666108
0.99162,0.25838,1.664553
0.99581,0.25838,1.663006
1.0,0.25838,1.661465
0.25,0.26257,1.999399
0.25419,0.26257,1.999737
0.25838,0.26257,1.999935
0.26257,0.26257,2.0
0.26676,0.26257,1.999937
0.27095,0.26257,1.999753
0.27514,0.26257,1.999454
0.27933,0.26257,1.999044
0.28352,0.26257,1.998528
0.287709,0.26257,1.997913
0.291899,0.26257,1.997203
0.296089,0.26257,1.996401
0.300279,0.26257,1.995513
0.304469,0.26257,1.994543
0.308659,0.26257,1.993494
0.312849,0.26257,1.99237
0.317039,0.26257,1.991175
0.321229,0.26257,1.989913
0.325419,0.26257,1.988586
0.329609,0.26257,1.987198
0.333799,0.26257,1.985751
0.337989,0.26257,1.98425
0.342179,0.26257,1.982696
0.346369,0.26257,1.981092
0.350559,0.26257,1.979441
0.354749,0.26257,1.977744
0.358939,0.26257,1.976005
0.363128,0.26257,1.974226
0.367318,0.26257,1.972408
0.371508,0.26257,1.970555
0.375698,0.26257,1.968666
0.379888,0.26257,1.966746
0.384078,0.26257,1.964794
0.388268,0.26257,1.962814
0.392458,0.26257,1.960807
0.396648,0.26257,1.958773
0.400838,0.26257,1.956716
0.405028,0.26257,1.954635
0.409218,0.26257,1.952534
0.413408,0.26257,1.950412
0.417598,0.26257,1.948271
0.421788,0.26257,1.946113
0.425978,0.26257,1.943938
0.430168,0.26257,1.941748
0.434358,0.26257,1.939543
0.438547,0.26257,1.937325
0.442737,0.26257,1.935095
0.446927,0.26257,1.932854
0.451117,0.26257,1.930602
0.455307,0.26257,1.92834
0.459497,0.26257,1.92607
0.463687,0.26257,1.923792
0.467877,0.26257,1.921507
0.472067,0.26257,1.919215
0.476257,0.26257,1.916917
0.480447,0.26257,1.914614
0.484637,0.26257,1.912307
0.488827,0.26257,1.909995
0.493017,0.26257,1.907681
0.497207,0.26257,1.905363
0.501397,0.26257,1.903044
0.505587,0.26257,1.900723
0.509777,0.26257,1.8984
0.513966,0.26257,1.896077
0.518156,0.26257,1.893753
0.522346,0.26257,1.89143
0.526536,0.26257,1.889107
0.530726,0.26257,1.886786
0.534916,0.26257,1.884465
0.539106,0.26257,1.882146
0.543296,0.26257,1.87983
0.547486,0.26257,1.877515
0.551676,0.26257,1.875204
0.555866,0.26257,1.872895
0.560056,0.26257,1.87059
0.564246,0.26257,1.868288
0.568436,0.26257,1.86599
0.572626,0.26257,1.863696
0.576816,0.26257,1.861406
0.581006,0.26257,1.859121
0.585196,0.26257,1.856841
0.589385,0.26257,1.854565
0.593575,0.26257,1.852295
0.597765,0.26257,1.85003
0.601955,0.26257,1.847771
0.606145,0.26257,1.845517
0.610335,0.26257,1.843269
0.614525,0.26257,1.841027
0.618715,0.26257,1.838791
0.622905,0.26257,1.836562
0.627095,0.26257,1.834339
0.631285,0.26257,1.832123
0.635475,0.26257,1.829913
0.639665,0.26257,1.82771
0.643855,0.26257,1.825514
0.648045,0.26257,1.823325
0.652235,0.26257,1.821143
0.656425,0.26257,1.818969
0.660615,0.26257,1.816801
0.664804,0.26257,1.814641
0.668994,0.26257,1.812488
0.673184,0.26257,1.810343
0.677374,0.26257,1.808205
0.681564,0.26257,1.806075
0.685754,0.26257,1.803953
0.689944,0.26257,1.801838
0.694134,0.26257,1.799731
0.698324,0.26257,1.797632
0.702514,0.26257,1.795541
0.706704,0.26257,1.793458
0.710894,0.26257,1.791382
0.715084,0.26257,1.789315
0.719274,0.26257,1.787255
0.723464,0.26257,1.785204
0.727654,0.26257,1.783161
0.731844,0.26257,1.781125
0.736034,0.26257,1.779098
0.740223,0.26257,1.777079
0.744413,0.26257,1.775068
0.748603,0.26257,1.773065
0.752793,0.26257,1.771071
0.756983,0.26257,1.769084
0.761173,0.26257,1.767106
0.765363,0.26257,1.765136
0.769553,0.26257,1.763173
0.773743,0.26257,1.76122
0.777933,0.26257,1.759274
0.782123,0.26257,1.757336
0.786313,0.26257,1.755407
0.790503,0.26257,1.753485
0.794693,0.26257,1.751572
0.798883,0.26257,1.749667
0.803073,0.26257,1.74777
0.807263,0.26257,1.745881
0.811453,0.26257,1.744001
0.815642,0.26257,1.742128
0.819832,0.26257,1.740263
0.824022,0.26257,1.738407
0.828212,0.26257,1.736558
0.832402,0.26257,1.734717
0.836592,0.26257,1.732885
0.840782,0.26257,1.73106
0.844972,0.26257,1.729244
0.849162,0.26257,1.727435
0.853352,0.26257,1.725634
0.857542,0.26257,1.723841
0.861732,0.26257,1.722056
0.865922,0.26257,1.720279
0.870112,0.26257,1.718509
0.874302,0.26257,1.716748
0.878492,0.26257,1.714994
0.882682,0.26257,1.713248
0.886872,0.26257,1.711509
0.891061,0.26257,1.709778
0.895251,0.26257,1.708055
0.899441,0.26257,1.706339
0.903631,0.26257,1.704631
0.907821,0.26257,1.702931
0.912011,0.26257,1.701238
0.916201,0.26257,1.699553
0.920391,0.26257,1.697875
0.924581,0.26257,1.696204
0.928771,0.26257,1.694541
0.932961,0.26257,1.692885
0.937151,0.26257,1.691237
0.941341,0.26257,1.689596
0.945531,0.26257,1.687962
0.949721,0.26257,1.686336
0.953911,0.26257,1.684716
0.958101,0.26257,1.683104
0.962291,0.26257,1.681499
0.96648,0.26257,1.679901
0.97067,0.26257,1.67831
0.97486,0.26257,1.676726
0.97905,0.26257,1.67515
0.98324,0.26257,1.67358
0.98743,0.26257,1.672017
0.99162,0.26257,1.670461
0.99581,0.26257,1.668912
1.0,0.26257,1.66737
0.25,0.26676,1.998948
0.25419,0.26676,1.999418
0.25838,0.26676,1.999745
0.26257,0.26676,1.999937
0.26676,0.26676,2.0
0.27095,0.26676,1.999939
0.27514,0.26676,1.999761
0.27933,0.26676,1.99947
0.28352,0.26676,1.999072
0.287709,0.26676,1.998573
0.291899,0.26676,1.997975
0.296089,0.26676,1.997285
0.300279,0.26676,1.996507
0.304469,0.26676,1.995644
0.308659,0.26676,1.9947
0.312849,0.26676,1.99368
0.317039,0.26676,1.992587
0.321229,0.26676,1.991425
0.325419,0.26676,1.990196
0.329609,0.26676,1.988904
