label,a,zeta,n_star,risk_star
canonical / parametric,0.5,0.010595601792776159,20.72921779595371,0.21963853724165464
canonical / parametric,0.5,0.010843659686896103,20.411867807594753,0.22133934807946765
canonical / parametric,0.5,0.011097524964120722,20.09937622808184,0.22305332945439288
canonical / parametric,0.5,0.01135733358343105,19.791668678535572,0.22478058335487255
canonical / parametric,0.5,0.011623224686798524,19.488671918765718,0.2265212125591149
canonical / parametric,0.5,0.011895340673703195,19.190313829838743,0.22827532064120978
canonical / parametric,0.5,0.012173827277396614,18.896523396912094,0.23004301197729182
canonical / parametric,0.5,0.012458833642950081,18.60723069233135,0.23182439175175118
canonical / parametric,0.5,0.012750512407130135,18.322366858986108,0.23361956596349243
canonical / parametric,0.5,0.013049019780144023,18.041864093920722,0.23542864143224176
canonical / parametric,0.5,0.013354515629298987,17.76565563219588,0.2372517258049035
canonical / parametric,0.5,0.013667163564620066,17.49367573099734,0.23908892756196515
canonical / parametric,0.5,0.013987131026472387,17.22585965398786,0.24094035602395256
canonical / parametric,0.5,0.014314589375234792,16.96214365589877,0.24280612135793483
canonical / parametric,0.5,0.014649713983072856,16.702464967357372,0.24468633458407987
canonical / parametric,0.5,0.014992684327860457,16.446761779946637,0.24658110758226032
canonical / parametric,0.5,0.015343684089300124,16.19497323149367,0.2484905530987109
canonical / parametric,0.5,0.015702901247293774,15.947039391583353,0.2504147847527372
canonical / parametric,0.5,0.01607052818261639,15.702901247293768,0.25235391704347665
canonical / parametric,0.5,0.016446761779946636,15.462500689150028,0.25430806535671124
canonical / parametric,0.5,0.016831803533309566,15.225780497293107,0.256277345971734
canonical / parametric,0.5,0.017225859653987867,14.992684327860452,0.2582618760682676
canonical / parametric,0.5,0.01762914118095948,14.76315669957509,0.2602617737334371
canonical / parametric,0.5,0.018041864093920727,14.537142980540013,0.2622771579687967
canonical / parametric,0.5,0.018464249428955436,14.314589375234789,0.26430814869741054
canonical / parametric,0.5,0.018896523396912095,14.095442911711176,0.2663548667709891
canonical / parametric,0.5,0.01933891750455231,13.879651428984847,0.2684174339770796
