ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_operator_norm,max_operator_norm,mean_inverse_norm,max_inverse_norm,min_spectral_gap
8,1,64,0.4,yy,0.58420954,0.62884134,0.58420954,0.62884134,2.42465428,2.69426556,0.37115866
8,1,64,0.8,xy,0.34000749,0.39363164,0.34000749,0.39363164,1.51882862,1.64916256,0.60636836
8,1,64,0.8,xx,0.3547092,0.44073287,0.3547092,0.44073287,1.5581874,1.78805429,0.55926713
8,1,64,0.8,yy,0.3342283,0.38233595,0.3342283,0.38233595,1.50672345,1.61900309,0.61766405
8,1,128,0.05,xy,0.94267995,0.94925067,0.94267995,0.94925067,17.54820554,19.70469282,0.05074933
8,1,128,0.05,xx,0.94700879,0.96339117,0.94700879,0.96339117,19.30315631,27.31581454,0.03660883
8,1,128,0.05,yy,0.94694028,0.95706415,0.94694028,0.95706415,19.00751909,23.29055859,0.04293585
8,1,128,0.1,xy,0.88814796,0.90120198,0.88814796,0.90120198,8.99118378,10.12166048,0.09879802
8,1,128,0.1,xx,0.89342222,0.92094962,0.89342222,0.92094962,9.55489208,12.65016019,0.07905038
8,1,128,0.1,yy,0.89343605,0.91085787,0.89343605,0.91085787,9.44823432,11.21804072,0.08914213
8,1,128,0.2,xy,0.78693647,0.81093571,0.78693647,0.81093571,4.71587892,5.28920609,0.18906429
8,1,128,0.2,xx,0.7923931,0.83578341,0.7923931,0.83578341,4.885344,6.08951874,0.16421659
8,1,128,0.2,yy,0.79238641,0.81936378,0.79238641,0.81936378,4.84185098,5.53598845,0.18063622
8,1,128,0.4,xy,0.61302864,0.6498943,0.61302864,0.6498943,2.59221199,2.85628029,0.3501057
8,1,128,0.4,xx,0.61744233,0.68071109,0.61744233,0.68071109,2.63913645,3.1319597,0.31928891
8,1,128,0.4,yy,0.61790704,0.65689787,0.61790704,0.65689787,2.62653889,2.91458404,0.34310213
8,1,128,0.8,xy,0.3674894,0.40630601,0.3674894,0.40630601,1.58289541,1.68436941,0.59369399
8,1,128,0.8,xx,0.3700225,0.44035294,0.3700225,0.44035294,1.5940064,1.78684045,0.55964706
8,1,128,0.8,yy,0.37159803,0.41314078,0.37159803,0.41314078,1.59367355,1.70398617,0.58685922
8,2,32,0.05,xy,0.95601079,0.9781704,0.95601079,0.9781704,25.44681344,45.80936656,0.0218296
8,2,32,0.05,xx,0.9964501,0.99979349,0.9964501,0.99979349,1259.74623679,4842.38846639,0.00020651
8,2,32,0.05,yy,0.99738124,0.99999041,0.99738124,0.99999041,15888.20894693,104254.01507372,9.59e-06
8,2,32,0.1,xy,0.90049423,0.93318462,0.90049423,0.93318462,10.37265117,14.96661492,0.06681538
8,2,32,0.1,xx,0.9706546,0.98710087,0.9706546,0.98710087,42.72616958,77.52460156,0.01289913
8,2,32,0.1,yy,0.97071242,0.99511012,0.97071242,0.99511012,62.28092668,204.5039114,0.00488988
8,2,32,0.2,xy,0.80141689,0.84895475,0.80141689,0.84895475,5.12686587,6.62053277,0.15104525
8,2,32,0.2,xx,0.88205996,0.91536765,0.88205996,0.91536765,9.04495737,11.8158134,0.08463235
8,2,32,0.2,yy,0.87328878,0.92849857,0.87328878,0.92849857,8.79525646,13.98573402,0.07150143
8,2,32,0.4,xy,0.62780153,0.71360214,0.62780153,0.71360214,2.72183565,3.49164619,0.28639786
8,2,32,0.4,xx,0.70374975,0.79426861,0.70374975,0.79426861,3.49098874,4.86070686,0.20573139
8,2,32,0.4,yy,0.69581511,0.78066027,0.69581511,0.78066027,3.41477227,4.55913756,0.21933973
8,2,32,0.8,xy,0.38371218,0.47979842,0.38371218,0.47979842,1.63142788,1.92233171,0.52020158
8,2,32,0.8,xx,0.43869451,0.5588418,0.43869451,0.5588418,1.80733261,2.26676053,0.4411582
8,2,32,0.8,yy,0.43737698,0.53375281,0.43737698,0.53375281,1.7967316,2.14478504,0.46624719
8,2,64,0.05,xy,0.94943634,0.98244228,0.94943634,0.98244228,22.32177962,56.95499273,0.01755772
8,2,64,0.05,xx,0.98124765,0.99960343,0.98124765,0.99960343,258.44674284,2521.64775281,0.00039657
8,2,64,0.05,yy,0.98502458,0.99735248,0.98502458,0.99735248,100.48448875,377.71154676,0.00264752
8,2,64,0.1,xy,0.89536012,0.92568916,0.89536012,0.92568916,9.76255819,13.45698602,0.07431084
8,2,64,0.1,xx,0.93189934,0.97055593,0.93189934,0.97055593,16.05315659,33.96269957,0.02944407
8,2,64,0.1,yy,0.94025695,0.96951298,0.94025695,0.96951298,18.59070402,32.80084017,0.03048702
8,2,64,0.2,xy,0.79670154,0.84948645,0.79670154,0.84948645,4.98792363,6.6439202,0.15051355
8,2,64,0.2,xx,0.82908926,0.86073224,0.82908926,0.86073224,5.9275911,7.18041301,0.13926776
8,2,64,0.2,yy,0.84677342,0.91269516,0.84677342,0.91269516,6.83603925,11.45411851,0.08730484
8,2,64,0.4,xy,0.62613838,0.69905483,0.62613838,0.69905483,2.69553215,3.32286444,0.30094517
8,2,64,0.4,xx,0.65267588,0.69825455,0.65267588,0.69825455,2.89857059,3.31405163,0.30174545
8,2,64,0.4,yy,0.67475123,0.79420612,0.67475123,0.79420612,3.15722863,4.85923097,0.20579388
8,2,64,0.8,xy,0.38005432,0.4569334,0.38005432,0.4569334,1.61784059,1.84139479,0.5430666
8,2,64,0.8,xx,0.39751373,0.44400243,0.39751373,0.44400243,1.66498374,1.798569,0.55599757
8,2,64,0.8,yy,0.41779435,0.55512793,0.41779435,0.55512793,1.73505264,2.24783721,0.44487207
8,2,128,0.05,xy,0.94388586,0.95282041,0.94388586,0.95282041,17.91243084,21.19560769,0.04717959
