scenario,seed,n_star_true,n_hat_ucurve,n_hat_param,abs_err_ucurve,abs_err_param,rel_err_ucurve,rel_err_param,coverage_ucurve,coverage_param
correct,84,30.0,5.0,9.498247756774187,25.0,20.501752243225813,0.8333333333333334,0.6833917414408605,1.0,1.0
correct,85,30.0,37.0,9.434422174475104,7.0,20.565577825524898,0.23333333333333334,0.6855192608508299,1.0,1.0
correct,86,30.0,5.0,9.252455774711802,25.0,20.7475442252882,0.8333333333333334,0.6915848075096066,0.0,0.0
correct,87,30.0,33.0,9.199678510903524,3.0,20.800321489096476,0.1,0.6933440496365492,1.0,1.0
correct,88,30.0,5.0,9.293697924725814,25.0,20.706302075274188,0.8333333333333334,0.6902100691758063,1.0,1.0
correct,89,30.0,33.0,9.183810285684938,3.0,20.816189714315062,0.1,0.6938729904771688,1.0,1.0
correct,90,30.0,41.0,8.974413446228414,11.0,21.025586553771586,0.36666666666666664,0.7008528851257195,1.0,1.0
correct,91,30.0,5.0,9.199900801546526,25.0,20.800099198453474,0.8333333333333334,0.6933366399484491,1.0,1.0
correct,92,30.0,5.0,9.57465956979642,25.0,20.42534043020358,0.8333333333333334,0.680844681006786,1.0,1.0
correct,93,30.0,5.0,9.044964854936373,25.0,20.955035145063626,0.8333333333333334,0.6985011715021209,1.0,1.0
correct,94,30.0,20.0,9.396173448970995,10.0,20.603826551029005,0.3333333333333333,0.6867942183676335,1.0,1.0
correct,95,30.0,20.0,9.137839907325963,10.0,20.86216009267404,0.3333333333333333,0.6954053364224679,1.0,1.0
correct,96,30.0,5.0,9.2360392271099,25.0,20.7639607728901,0.8333333333333334,0.6921320257630034,1.0,1.0
correct,97,30.0,22.0,9.449635092335587,8.0,20.550364907664413,0.26666666666666666,0.6850121635888138,1.0,1.0
correct,98,30.0,5.0,9.14717371671723,25.0,20.85282628328277,0.8333333333333334,0.695094209442759,1.0,1.0
correct,99,30.0,5.0,9.18416420624402,25.0,20.81583579375598,0.8333333333333334,0.6938611931251993,1.0,1.0
sinusoidal,0,12.0,5.0,9.686395861018461,7.0,2.313604138981539,0.5833333333333334,0.19280034491512824,1.0,1.0
sinusoidal,1,12.0,5.0,9.50974999190762,7.0,2.4902500080923797,0.5833333333333334,0.2075208340076983,1.0,1.0
sinusoidal,2,12.0,5.0,9.61367046340265,7.0,2.3863295365973496,0.5833333333333334,0.1988607947164458,1.0,1.0
sinusoidal,3,12.0,5.0,9.752194892527893,7.0,2.2478051074721073,0.5833333333333334,0.18731709228934226,1.0,1.0
sinusoidal,4,12.0,5.0,9.657809118966503,7.0,2.3421908810334973,0.5833333333333334,0.1951825734194581,1.0,1.0
sinusoidal,5,12.0,5.0,9.655602105819478,7.0,2.3443978941805224,0.5833333333333334,0.1953664911817102,1.0,1.0
sinusoidal,6,12.0,5.0,9.278055861953161,7.0,2.7219441380468385,0.5833333333333334,0.22682867817056987,1.0,1.0
sinusoidal,7,12.0,5.0,9.848637006410238,7.0,2.1513629935897622,0.5833333333333334,0.17928024946581353,1.0,1.0
sinusoidal,8,12.0,5.0,9.83754217047927,7.0,2.1624578295207293,0.5833333333333334,0.18020481912672745,1.0,1.0
sinusoidal,9,12.0,5.0,9.51948769522938,7.0,2.4805123047706203,0.5833333333333334,0.20670935873088503,1.0,1.0
sinusoidal,10,12.0,5.0,9.876467363568173,7.0,2.123532636431827,0.5833333333333334,0.1769610530359856,1.0,1.0
sinusoidal,11,12.0,5.0,9.498702963621048,7.0,2.5012970363789524,0.5833333333333334,0.20844141969824603,1.0,1.0
sinusoidal,12,12.0,12.0,9.430891589256941,0.0,2.569108410743059,0.0,0.2140923675619216,1.0,1.0
sinusoidal,13,12.0,5.0,9.333709043251968,7.0,2.666290956748032,0.5833333333333334,0.222190913062336,1.0,1.0
sinusoidal,14,12.0,5.0,9.665315509479665,7.0,2.3346844905203348,0.5833333333333334,0.19455704087669456,1.0,1.0
sinusoidal,15,12.0,5.0,9.512087091854031,7.0,2.4879129081459688,0.5833333333333334,0.20732607567883074,1.0,1.0
sinusoidal,16,12.0,5.0,9.474497538754633,7.0,2.5255024612453667,0.5833333333333334,0.2104585384371139,1.0,1.0
sinusoidal,17,12.0,5.0,9.878239034565171,7.0,2.121760965434829,0.5833333333333334,0.17681341378623575,1.0,1.0
sinusoidal,18,12.0,5.0,9.250163987330922,7.0,2.7498360126690784,0.5833333333333334,0.22915300105575653,1.0,1.0
sinusoidal,19,12.0,5.0,9.494128559123492,7.0,2.5058714408765077,0.5833333333333334,0.2088226200730423,1.0,1.0
