scenario,seed,n_star_true,n_hat_ucurve,n_hat_param,abs_err_ucurve,abs_err_param,rel_err_ucurve,rel_err_param
sinusoidal,16,130.0,300.0,12.833033814742235,170,117.16696618525776,1.3076923076923077,0.9012843552712135
sinusoidal,17,130.0,37.0,12.11737926055322,93,117.88262073944678,0.7153846153846154,0.9067893903034367
sinusoidal,18,130.0,197.0,3.0957932231565772,67,126.90420677684342,0.5153846153846153,0.9761862059757186
sinusoidal,19,130.0,300.0,5.814747253259106,170,124.1852527467409,1.3076923076923077,0.95527117497493
piecewise,0,5.0,300.0,0.5653643639103092,295,4.434635636089691,59.0,0.8869271272179382
piecewise,1,5.0,300.0,1.1309377945543326,295,3.869062205445667,59.0,0.7738124410891334
piecewise,2,5.0,300.0,2.6857474708831224,295,2.3142525291168776,59.0,0.4628505058233755
piecewise,3,5.0,300.0,2.1067999524563477,295,2.8932000475436523,59.0,0.5786400095087305
piecewise,4,5.0,300.0,6.757513315131229,295,1.757513315131229,59.0,0.3515026630262458
piecewise,5,5.0,50.0,1.9851228017611042,45,3.0148771982388958,9.0,0.6029754396477791
piecewise,6,5.0,300.0,1.4145647928417053,295,3.5854352071582944,59.0,0.7170870414316589
piecewise,7,5.0,300.0,0.46114088554304744,295,4.538859114456953,59.0,0.9077718228913906
piecewise,8,5.0,300.0,10.664461115245652,295,5.664461115245652,59.0,1.1328922230491305
piecewise,9,5.0,5.0,15.18640419034196,0,10.18640419034196,0.0,2.037280838068392
piecewise,10,5.0,300.0,5.212477078611736,295,0.2124770786117356,59.0,0.04249541572234712
piecewise,11,5.0,300.0,6.813130845240027,295,1.8131308452400274,59.0,0.3626261690480055
piecewise,12,5.0,300.0,2.1263513299805505,295,2.8736486700194495,59.0,0.5747297340038899
piecewise,13,5.0,300.0,17.86692305075567,295,12.86692305075567,59.0,2.573384610151134
piecewise,14,5.0,300.0,4.254274415438742,295,0.7457255845612583,59.0,0.14914511691225166
piecewise,15,5.0,300.0,0.5594888772627848,295,4.440511122737215,59.0,0.888102224547443
piecewise,16,5.0,20.0,9.525357701441374,15,4.525357701441374,3.0,0.9050715402882747
piecewise,17,5.0,300.0,8.330494822384543,295,3.3304948223845425,59.0,0.6660989644769085
piecewise,18,5.0,300.0,1.7760875741241517,295,3.2239124258758483,59.0,0.6447824851751697
piecewise,19,5.0,27.0,9.286580444423423,22,4.286580444423423,4.4,0.8573160888846847
mixed,0,5.0,45.0,2.6306419352567327,40,2.3693580647432673,8.0,0.47387161294865343
mixed,1,5.0,50.0,7.471566347944817,45,2.471566347944817,9.0,0.49431326958896343
mixed,2,5.0,45.0,17.118874362585533,40,12.118874362585533,8.0,2.4237748725171064
mixed,3,5.0,18.0,7.710725343829478,13,2.710725343829478,2.6,0.5421450687658955
mixed,4,5.0,5.0,14.40441958786723,0,9.40441958786723,0.0,1.880883917573446
mixed,5,5.0,50.0,7.841901829914883,45,2.8419018299148826,9.0,0.5683803659829765
mixed,6,5.0,77.0,10.290759791066973,72,5.290759791066973,14.4,1.0581519582133947
mixed,7,5.0,50.0,1.8262571705217876,45,3.173742829478212,9.0,0.6347485658956424
mixed,8,5.0,10.0,18.018947789496398,5,13.018947789496398,1.0,2.6037895578992796
mixed,9,5.0,5.0,14.72615311204314,0,9.72615311204314,0.0,1.9452306224086278
mixed,10,5.0,5.0,11.60864815308442,0,6.60864815308442,0.0,1.321729630616884
mixed,11,5.0,30.0,21.634077919775073,25,16.634077919775073,5.0,3.326815583955015
mixed,12,5.0,37.0,14.462651163777004,32,9.462651163777004,6.4,1.8925302327554008
mixed,13,5.0,20.0,18.972293508497724,15,13.972293508497724,3.0,2.794458701699545
mixed,14,5.0,37.0,14.992182564655309,32,9.992182564655309,6.4,1.9984365129310617
mixed,15,5.0,56.0,1.6808158962112418,51,3.319184103788758,10.2,0.6638368207577516
mixed,16,5.0,20.0,16.726619756124176,15,11.726619756124176,3.0,2.3453239512248354
mixed,17,5.0,24.0,15.972313438075874,19,10.972313438075874,3.8,2.1944626876151747
mixed,18,5.0,69.0,14.643974825251817,64,9.643974825251817,12.8,1.9287949650503635
mixed,19,5.0,69.0,17.548974597754817,64,12.548974597754817,12.8,2.5097949195509637
