user_id,phase,detected,healthy_fp
20574,collapse_detection,0,0.0
879,bubble_detection,0,0.0
879,collapse_detection,0,0.0
19973,bubble_detection,0,0.0
19973,collapse_detection,0,0.0
1947,bubble_detection,0,0.0
1947,collapse_detection,0,0.0
24113,bubble_detection,0,0.0
24113,collapse_detection,0,0.0
4318,bubble_detection,0,2.0
4318,collapse_detection,1,2.0
4906,bubble_detection,1,1.0
4906,collapse_detection,1,1.0
16787,bubble_detection,0,0.0
16787,collapse_detection,0,0.0
16017,bubble_detection,0,0.0
16017,collapse_detection,0,0.0
11511,bubble_detection,0,0.0
11511,collapse_detection,0,0.0
3570,bubble_detection,1,1.0
3570,collapse_detection,1,1.0
22158,bubble_detection,0,0.0
22158,collapse_detection,0,0.0
2208,bubble_detection,0,0.0
2208,collapse_detection,0,0.0
205,bubble_detection,0,0.0
205,collapse_detection,0,0.0
12836,bubble_detection,1,2.0
12836,collapse_detection,1,2.0
17173,bubble_detection,1,1.0
17173,collapse_detection,1,1.0
1025,bubble_detection,1,1.0
1025,collapse_detection,1,1.0
893,bubble_detection,1,1.0
893,collapse_detection,1,1.0
10567,bubble_detection,0,0.0
10567,collapse_detection,1,0.0
22515,bubble_detection,1,2.0
22515,collapse_detection,1,2.0
25266,bubble_detection,1,4.0
25266,collapse_detection,1,4.0
6915,bubble_detection,0,0.0
6915,collapse_detection,0,0.0
2351,bubble_detection,0,0.0
2351,collapse_detection,0,0.0
6942,bubble_detection,0,0.0
6942,collapse_detection,0,0.0
25948,bubble_detection,1,1.0
25948,collapse_detection,1,1.0
19330,bubble_detection,1,1.0
19330,collapse_detection,1,1.0
15892,bubble_detection,0,0.0
15892,collapse_detection,0,0.0
23876,bubble_detection,1,1.0
23876,collapse_detection,1,1.0
8020,bubble_detection,0,0.0
8020,collapse_detection,0,0.0
12708,bubble_detection,0,0.0
12708,collapse_detection,0,0.0
3363,bubble_detection,1,3.0
3363,collapse_detection,1,3.0
12047,bubble_detection,1,1.0
12047,collapse_detection,1,1.0
8063,bubble_detection,0,0.0
8063,collapse_detection,0,0.0
2266,bubble_detection,0,0.0
2266,collapse_detection,0,0.0
5753,bubble_detection,0,0.0
5753,collapse_detection,0,0.0
21335,bubble_detection,0,0.0
21335,collapse_detection,0,0.0
9738,bubble_detection,0,0.0
9738,collapse_detection,0,0.0
10446,bubble_detection,0,0.0
10446,collapse_detection,0,0.0
11749,bubble_detection,0,0.0
11749,collapse_detection,1,0.0
4882,bubble_detection,1,1.0
4882,collapse_detection,1,1.0
5998,bubble_detection,0,0.0
5998,collapse_detection,0,0.0
4365,bubble_detection,1,3.0
4365,collapse_detection,1,3.0
21242,bubble_detection,0,0.0
21242,collapse_detection,1,0.0
10382,bubble_detection,1,1.0
10382,collapse_detection,1,1.0
3188,bubble_detection,0,0.0
3188,collapse_detection,0,0.0
14068,bubble_detection,1,1.0
14068,collapse_detection,1,1.0
18302,bubble_detection,0,0.0
18302,collapse_detection,0,0.0
14932,bubble_detection,0,0.0
14932,collapse_detection,0,0.0
12468,bubble_detection,0,0.0
12468,collapse_detection,0,0.0
7628,bubble_detection,0,0.0
7628,collapse_detection,0,0.0
18466,bubble_detection,0,0.0
18466,collapse_detection,0,0.0
10256,bubble_detection,1,1.0
10256,collapse_detection,0,1.0
8385,bubble_detection,0,0.0
8385,collapse_detection,0,0.0
25286,bubble_detection,1,1.0
25286,collapse_detection,1,1.0
3770,bubble_detection,1,1.0
3770,collapse_detection,1,1.0
4114,bubble_detection,1,2.0
4114,collapse_detection,1,2.0
25159,bubble_detection,1,1.0
25159,collapse_detection,1,1.0
21981,bubble_detection,0,0.0
21981,collapse_detection,0,0.0
11930,bubble_detection,0,0.0
11930,collapse_detection,0,0.0
6138,bubble_detection,1,1.0
6138,collapse_detection,1,1.0
16658,bubble_detection,0,0.0
16658,collapse_detection,0,0.0
17580,bubble_detection,1,1.0
17580,collapse_detection,1,1.0
8363,bubble_detection,1,2.0
8363,collapse_detection,1,2.0
25580,bubble_detection,1,1.0
25580,collapse_detection,1,1.0
25653,bubble_detection,1,2.0
25653,collapse_detection,1,2.0
21894,bubble_detection,1,1.0
21894,collapse_detection,1,1.0
19335,bubble_detection,0,0.0
19335,collapse_detection,0,0.0
25034,bubble_detection,1,1.0
25034,collapse_detection,0,1.0
22946,bubble_detection,1,1.0
22946,collapse_detection,0,1.0
21472,bubble_detection,1,1.0
21472,collapse_detection,1,1.0
6394,bubble_detection,0,0.0
6394,collapse_detection,0,0.0
25005,bubble_detection,1,1.0
25005,collapse_detection,1,1.0
12505,bubble_detection,1,1.0
12505,collapse_detection,1,1.0
27201,bubble_detection,0,0.0
27201,collapse_detection,0,0.0
19379,bubble_detection,1,1.0
19379,collapse_detection,1,1.0
17079,bubble_detection,0,0.0
17079,collapse_detection,0,0.0
18175,bubble_detection,1,1.0
18175,collapse_detection,1,1.0
7544,bubble_detection,0,0.0
7544,collapse_detection,0,0.0
5744,bubble_detection,1,2.0
5744,collapse_detection,0,2.0
13608,bubble_detection,0,0.0
13608,collapse_detection,0,0.0
3652,bubble_detection,0,0.0
3652,collapse_detection,0,0.0
546,bubble_detection,1,1.0
546,collapse_detection,1,1.0
1155,bubble_detection,0,0.0
1155,collapse_detection,0,0.0
18276,bubble_detection,0,0.0
18276,collapse_detection,0,0.0
21695,bubble_detection,1,1.0
21695,collapse_detection,1,1.0
7555,bubble_detection,0,0.0
7555,collapse_detection,0,0.0
9838,bubble_detection,1,1.0
9838,collapse_detection,1,1.0
22050,bubble_detection,0,0.0
22050,collapse_detection,0,0.0
17660,bubble_detection,0,0.0
17660,collapse_detection,0,0.0
16715,bubble_detection,1,1.0
16715,collapse_detection,1,1.0
14171,bubble_detection,1,1.0
14171,collapse_detection,1,1.0
25510,bubble_detection,0,0.0
25510,collapse_detection,0,0.0
1973,bubble_detection,0,0.0
1973,collapse_detection,0,0.0
12790,bubble_detection,1,2.0
12790,collapse_detection,1,2.0
13470,bubble_detection,0,0.0
13470,collapse_detection,0,0.0
7186,bubble_detection,1,1.0
7186,collapse_detection,1,1.0
14795,bubble_detection,0,0.0
14795,collapse_detection,0,0.0
16121,bubble_detection,1,1.0
16121,collapse_detection,1,1.0
9873,bubble_detection,0,0.0
9873,collapse_detection,0,0.0
26128,bubble_detection,0,0.0
26128,collapse_detection,0,0.0
23179,bubble_detection,0,0.0
23179,collapse_detection,0,0.0
14818,bubble_detection,1,1.0
14818,collapse_detection,1,1.0
12569,bubble_detection,1,4.0
12569,collapse_detection,1,4.0
21305,bubble_detection,1,2.0
21305,collapse_detection,1,2.0
10080,bubble_detection,1,1.0
10080,collapse_detection,1,1.0
9566,bubble_detection,0,0.0
9566,collapse_detection,0,0.0
2614,bubble_detection,1,1.0
2614,collapse_detection,1,1.0
16779,bubble_detection,1,1.0
16779,collapse_detection,1,1.0
3254,bubble_detection,0,0.0
3254,collapse_detection,0,0.0
4074,bubble_detection,1,2.0
4074,collapse_detection,1,2.0
26471,bubble_detection,0,0.0
26471,collapse_detection,0,0.0
24947,bubble_detection,1,1.0
24947,collapse_detection,1,1.0
2380,bubble_detection,1,1.0
2380,collapse_detection,1,1.0
20847,bubble_detection,0,0.0
20847,collapse_detection,0,0.0
9048,bubble_detection,1,1.0
9048,collapse_detection,1,1.0
10370,bubble_detection,1,1.0
10370,collapse_detection,1,1.0
7663,bubble_detection,0,0.0
7663,collapse_detection,0,0.0
23901,bubble_detection,0,0.0
23901,collapse_detection,0,0.0
7568,bubble_detection,1,1.0
7568,collapse_detection,1,1.0
1022,bubble_detection,0,0.0
1022,collapse_detection,0,0.0
20606,bubble_detection,1,1.0
20606,collapse_detection,1,1.0
3437,bubble_detection,0,0.0
3437,collapse_detection,0,0.0
15533,bubble_detection,0,0.0
15533,collapse_detection,0,0.0
23154,bubble_detection,1,1.0
23154,collapse_detection,1,1.0
8359,bubble_detection,0,0.0
8359,collapse_detection,0,0.0
1654,bubble_detection,1,1.0
1654,collapse_detection,1,1.0
6001,bubble_detection,1,3.0
6001,collapse_detection,1,3.0
9472,bubble_detection,1,1.0
9472,collapse_detection,1,1.0
18123,bubble_detection,1,4.0
18123,collapse_detection,1,4.0
26266,bubble_detection,0,0.0
26266,collapse_detection,0,0.0
21309,bubble_detection,1,1.0
21309,collapse_detection,1,1.0
8908,bubble_detection,1,1.0
8908,collapse_detection,1,1.0
2304,bubble_detection,0,0.0
2304,collapse_detection,0,0.0
25575,bubble_detection,1,1.0
25575,collapse_detection,1,1.0
434,bubble_detection,1,1.0
434,collapse_detection,1,1.0
1463,bubble_detection,0,0.0
1463,collapse_detection,0,0.0
16864,bubble_detection,1,4.0
16864,collapse_detection,1,4.0
26956,bubble_detection,1,1.0
26956,collapse_detection,1,1.0
10777,bubble_detection,1,2.0
10777,collapse_detection,1,2.0
17563,bubble_detection,1,1.0
17563,collapse_detection,1,1.0
18740,bubble_detection,1,6.0
18740,collapse_detection,1,6.0
24292,bubble_detection,0,0.0
24292,collapse_detection,0,0.0
11424,bubble_detection,1,1.0
11424,collapse_detection,1,1.0
23762,bubble_detection,1,1.0
23762,collapse_detection,1,1.0
21659,bubble_detection,1,2.0
21659,collapse_detection,1,2.0
18191,bubble_detection,1,1.0
18191,collapse_detection,1,1.0
926,bubble_detection,1,3.0
926,collapse_detection,1,3.0
20951,bubble_detection,0,0.0
20951,collapse_detection,0,0.0
5477,bubble_detection,0,0.0
5477,collapse_detection,1,0.0
19285,bubble_detection,1,3.0
19285,collapse_detection,1,3.0
6796,bubble_detection,0,0.0
6796,collapse_detection,0,0.0
14288,bubble_detection,0,0.0
14288,collapse_detection,0,0.0
19466,bubble_detection,1,1.0
19466,collapse_detection,1,1.0
26171,bubble_detection,1,3.0
26171,collapse_detection,1,3.0
14651,bubble_detection,0,0.0
14651,collapse_detection,0,0.0
10147,bubble_detection,1,1.0
10147,collapse_detection,1,1.0
19549,bubble_detection,0,0.0
19549,collapse_detection,0,0.0
2575,bubble_detection,1,1.0
2575,collapse_detection,1,1.0
15477,bubble_detection,1,1.0
15477,collapse_detection,0,1.0
25366,bubble_detection,0,0.0
25366,collapse_detection,0,0.0
21632,bubble_detection,1,1.0
21632,collapse_detection,1,1.0
14134,bubble_detection,1,1.0
14134,collapse_detection,1,1.0
19204,bubble_detection,1,1.0
19204,collapse_detection,1,1.0
7706,bubble_detection,0,0.0
7706,collapse_detection,0,0.0
13616,bubble_detection,1,1.0
13616,collapse_detection,1,1.0
11449,bubble_detection,1,2.0
11449,collapse_detection,1,2.0
23114,bubble_detection,1,1.0
23114,collapse_detection,1,1.0
24180,bubble_detection,1,1.0
24180,collapse_detection,1,1.0
14270,bubble_detection,1,1.0
14270,collapse_detection,1,1.0
3355,bubble_detection,0,0.0
3355,collapse_detection,0,0.0
20773,bubble_detection,0,0.0
20773,collapse_detection,0,0.0
576,bubble_detection,1,3.0
576,collapse_detection,1,3.0
19171,bubble_detection,1,1.0
19171,collapse_detection,1,1.0
23012,bubble_detection,1,2.0
23012,collapse_detection,1,2.0
5672,bubble_detection,1,1.0
5672,collapse_detection,1,1.0
204,bubble_detection,1,1.0
204,collapse_detection,1,1.0
5383,bubble_detection,1,1.0
5383,collapse_detection,1,1.0
12572,bubble_detection,1,2.0
12572,collapse_detection,1,2.0
16807,bubble_detection,1,3.0
16807,collapse_detection,1,3.0
3198,bubble_detection,0,0.0
3198,collapse_detection,0,0.0
