seed,regime,condition,influence,lambda,tail_abs_error,tail_action_gap,tail_effort,tail_sigma_p,tail_sigma_p_eff,tail_sigma_a,tail_sigma_phi,tail_tci,tail_tcie
9,coercive,fm1,0.2,3.0,0.52013,0.650163,0.130033,0.867621,0.611067,1.0,1.0,0.867621,0.611067
10,passive,fm1,0.2,3.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.2,3.0,0.278085,0.347606,0.069521,0.945587,0.786472,1.0,1.0,0.945587,0.786472
11,passive,fm1,0.2,3.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.2,3.0,0.374333,0.467916,0.093583,0.919098,0.715285,1.0,1.0,0.919098,0.715285
12,passive,fm1,0.2,3.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.2,3.0,0.374599,0.468248,0.09365,0.918038,0.714897,1.0,1.0,0.918038,0.714897
13,passive,fm1,0.2,3.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.2,3.0,0.344759,0.430949,0.08619,0.923785,0.740958,1.0,1.0,0.923785,0.740958
14,passive,fm1,0.2,3.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.2,3.0,0.298921,0.373652,0.07473,0.940306,0.769805,1.0,1.0,0.940306,0.769805
7,passive,fm1,0.2,4.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.2,4.0,0.391011,0.488764,0.097753,0.912773,0.646831,1.0,1.0,0.912773,0.646831
8,passive,fm1,0.2,4.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.2,4.0,0.31155,0.389437,0.077887,0.93449,0.722949,1.0,1.0,0.93449,0.722949
9,passive,fm1,0.2,4.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.2,4.0,0.52013,0.650163,0.130033,0.867621,0.547862,1.0,1.0,0.867621,0.547862
10,passive,fm1,0.2,4.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.2,4.0,0.278085,0.347606,0.069521,0.945587,0.743429,1.0,1.0,0.945587,0.743429
11,passive,fm1,0.2,4.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.2,4.0,0.374333,0.467916,0.093583,0.919098,0.661724,1.0,1.0,0.919098,0.661724
12,passive,fm1,0.2,4.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.2,4.0,0.374599,0.468248,0.09365,0.918038,0.661733,1.0,1.0,0.918038,0.661733
13,passive,fm1,0.2,4.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.2,4.0,0.344759,0.430949,0.08619,0.923785,0.693109,1.0,1.0,0.923785,0.693109
14,passive,fm1,0.2,4.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.2,4.0,0.298921,0.373652,0.07473,0.940306,0.724002,1.0,1.0,0.940306,0.724002
7,passive,fm1,0.3,0.5,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.3,0.5,0.285301,0.407572,0.122272,0.946969,0.893656,1.0,1.0,0.946969,0.893656
8,passive,fm1,0.3,0.5,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.3,0.5,0.235249,0.336071,0.100821,0.958359,0.914995,1.0,1.0,0.958359,0.914995
9,passive,fm1,0.3,0.5,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.3,0.5,0.376351,0.537644,0.161293,0.921022,0.853164,1.0,1.0,0.921022,0.853164
