seed,regime,condition,influence,lambda,tail_abs_error,tail_action_gap,tail_effort,tail_sigma_p,tail_sigma_p_eff,tail_sigma_a,tail_sigma_phi,tail_tci,tail_tcie
7,coercive,fm1,0.9,3.0,0.031205,0.312053,0.280847,0.999274,0.501676,1.0,1.0,0.999274,0.501676
8,passive,fm1,0.9,3.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.9,3.0,0.025275,0.252746,0.227471,0.999462,0.572929,1.0,1.0,0.999462,0.572929
9,passive,fm1,0.9,3.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.9,3.0,0.03289,0.328899,0.296009,0.999183,0.485378,1.0,1.0,0.999183,0.485378
10,passive,fm1,0.9,3.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.9,3.0,0.029899,0.298989,0.26909,0.999354,0.510305,1.0,1.0,0.999354,0.510305
11,passive,fm1,0.9,3.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.9,3.0,0.030639,0.30639,0.275751,0.999338,0.497067,1.0,1.0,0.999338,0.497067
12,passive,fm1,0.9,3.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.9,3.0,0.030817,0.308171,0.277354,0.999319,0.493064,1.0,1.0,0.999319,0.493064
13,passive,fm1,0.9,3.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.9,3.0,0.029444,0.294442,0.264997,0.999316,0.530041,1.0,1.0,0.999316,0.530041
14,passive,fm1,0.9,3.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.9,3.0,0.026464,0.264637,0.238173,0.999456,0.551149,1.0,1.0,0.999456,0.551149
7,passive,fm1,0.9,4.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.9,4.0,0.031205,0.312053,0.280847,0.999274,0.421235,1.0,1.0,0.999274,0.421235
8,passive,fm1,0.9,4.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.9,4.0,0.025275,0.252746,0.227471,0.999462,0.495731,1.0,1.0,0.999462,0.495731
9,passive,fm1,0.9,4.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.9,4.0,0.03289,0.328899,0.296009,0.999183,0.404048,1.0,1.0,0.999183,0.404048
10,passive,fm1,0.9,4.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.9,4.0,0.029899,0.298989,0.26909,0.999354,0.429732,1.0,1.0,0.999354,0.429732
11,passive,fm1,0.9,4.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.9,4.0,0.030639,0.30639,0.275751,0.999338,0.413505,1.0,1.0,0.999338,0.413505
12,passive,fm1,0.9,4.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.9,4.0,0.030817,0.308171,0.277354,0.999319,0.406929,1.0,1.0,0.999319,0.406929
13,passive,fm1,0.9,4.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.9,4.0,0.029444,0.294442,0.264997,0.999316,0.454373,1.0,1.0,0.999316,0.454373
14,passive,fm1,0.9,4.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.9,4.0,0.026464,0.264637,0.238173,0.999456,0.471152,1.0,1.0,0.999456,0.471152
