regime,influence,lambda,n_seeds,mean_tail_abs_error,std_tail_abs_error,mean_tail_action_gap,std_tail_action_gap,mean_tail_effort,std_tail_effort,mean_tail_sigma_p,std_tail_sigma_p,mean_tail_sigma_p_eff,std_tail_sigma_p_eff,mean_tail_sigma_a,std_tail_sigma_a,mean_tail_sigma_phi,std_tail_sigma_phi,mean_tail_tci,std_tail_tci,mean_tail_tcie,std_tail_tcie,mean_masking_gap
passive,0.3,4.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.5,0.5,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.5,1.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.5,2.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.5,3.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.5,4.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.7,0.5,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.7,1.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.7,2.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.7,3.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.7,4.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.9,0.5,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.9,1.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.9,2.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.9,3.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.9,4.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
